Meter #,Sec Meter #,Serv Addr,Stat,Meter Type,Account,Serv Loc #,Name,Service Use Type,AMR Transponder ID
116315865,83266280,,8,1,,,,,83266280
116315866,83266328,,8,1,,,,,83266328
116315867,83266257,,8,1,,,,,83266257
116315868,83266270,,8,1,,,,,83266270
116315869,83266291,,8,1,,,,,83266291
116315870,83266237,,8,1,,,,,83266237
116315871,83266271,,8,1,,,,,83266271
116315872,83266289,,8,1,,,,,83266289
116315873,83266319,,8,1,,,,,83266319
116315874,83266314,,8,1,,,,,83266314
116315875,83266252,,8,1,,,,,83266252
116315876,83266250,,8,1,,,,,83266250
116315877,83266241,,8,1,,,,,83266241
116315878,83266275,,8,1,,,,,83266275
116315879,83266276,,8,1,,,,,83266276
116315880,83266292,,8,1,,,,,83266292
116315881,83266279,,8,1,,,,,83266279
116315882,83266322,,8,1,,,,,83266322
116315883,83266274,,8,1,,,,,83266274
116315888,83266308,,8,1,,,,,83266308
116315890,83266312,,8,1,,,,,83266312
116315891,83266325,,8,1,,,,,83266325
116315908,83266287,,8,1,,,,,83266287
116315909,83266235,,8,1,,,,,83266235
116315910,83266283,,8,1,,,,,83266283
116315911,83266248,,8,1,,,,,83266248
116315912,83266231,,8,1,,,,,83266231
116315913,83266247,,8,1,,,,,83266247
116315914,83266265,,8,1,,,,,83266265
116315915,82818834,,8,1,,,,,82818834
118785047,83265261,,8,1,,,,,83265261
129029622,95897918,,8,1,,,,,95897918
129029627,95897807,,8,1,,,,,95897807
129030146,95897337,,8,1,,,,,95897337
129030888,95893087,,8,1,,,,,95893087
129031145,95896175,,8,1,,,,,95896175
129031734,96097610,,8,1,,,,,96097610
133114945,98402631,,8,1,,,,,98402631
137941224,98662885,,8,1,,,,,98662885
137941225,98662816,,8,1,,,,,98662816
140352413,99489048,,8,1,,,,,99489048
140352435,99489075,,8,1,,,,,99489075
140352436,99489096,,8,1,,,,,99489096
143457244,55957085,,8,1,,,,,55957085
144668687,56177214,,8,6,,,,,56177214
144668688,56177215,,8,6,,,,,56177215
144668689,56177216,,8,6,,,,,56177216
144668690,56177212,,8,6,,,,,56177212
144668691,56177227,,8,6,,,,,56177227
144668692,56177228,,8,6,,,,,56177228
144668693,56177221,,8,6,,,,,56177221
144668694,56177209,,8,6,,,,,56177209
144668695,56177210,,8,6,,,,,56177210
144668696,56177223,,8,6,,,,,56177223
144668697,56177224,,8,6,,,,,56177224
144668698,56177219,,8,6,,,,,56177219
144668699,56177229,,8,6,,,,,56177229
144668702,56177206,,8,6,,,,,56177206
144668703,56177217,,8,6,,,,,56177217
144668704,56177220,,8,6,,,,,56177220
144668709,56177207,,8,6,,,,,56177207
145663791,230146173,,8,1,,,,,230146173
145663835,230146163,,8,1,,,,,230146163
145663841,230146192,,8,1,,,,,230146192
145663842,230146162,,8,1,,,,,230146162
145663844,230146152,,8,1,,,,,230146152
146158378,230146481,,8,1,,,,,230146481
148756508,220370924,,8,1,,,,,220370924
148756524,220370934,,8,1,,,,,220370934
148756525,220370911,,8,1,,,,,220370911
148756531,220370951,,8,1,,,,,220370951
148756559,220370913,,8,1,,,,,220370913
148756562,220370950,,8,1,,,,,220370950
148756570,220370923,,8,1,,,,,220370923
150714030,63127381,,8,1,,,,,63127381
150714041,63127344,,8,1,,,,,63127344
150714053,63127394,,8,1,,,,,63127394
150714054,63127406,,8,1,,,,,63127406
150714055,63127373,,8,1,,,,,63127373
150714056,63127370,,8,1,,,,,63127370
150714057,63127369,,8,1,,,,,63127369
150714058,63127409,,8,1,,,,,63127409
150714059,63127338,,8,1,,,,,63127338
150714060,63127341,,8,1,,,,,63127341
150714076,63127334,,8,1,,,,,63127334
152637565,63128041,,8,1,,,,,63128041
152637613,63127997,,8,1,,,,,63127997
152637624,63128002,,8,1,,,,,63128002
152637657,63128046,,8,1,,,,,63128046
152637668,63128073,,8,1,,,,,63128073
152637673,63128023,,8,1,,,,,63128023
152637686,63128021,,8,1,,,,,63128021
152637687,63128030,,8,1,,,,,63128030
152637701,63128000,,8,1,,,,,63128000
152637706,63127915,,8,1,,,,,63127915
152637712,63128067,,8,1,,,,,63128067
152637736,63127928,,8,1,,,,,63127928
155664470,230491950,,8,1,,,,,230491950
155664471,230491960,,8,1,,,,,230491960
155664472,230491966,,8,1,,,,,230491966
155664473,230491953,,8,1,,,,,230491953
155664474,230491933,,8,1,,,,,230491933
155664475,230491967,,8,1,,,,,230491967
155664476,230491948,,8,1,,,,,230491948
155664477,230491938,,8,1,,,,,230491938
155664478,230491949,,8,1,,,,,230491949
155664479,230491928,,8,1,,,,,230491928
155664480,230491943,,8,1,,,,,230491943
155664481,230491939,,8,1,,,,,230491939
155664484,230491940,,8,1,,,,,230491940
155664486,230491968,,8,1,,,,,230491968
155664487,230491897,,8,1,,,,,230491897
155664488,230491878,,8,1,,,,,230491878
155664489,230491951,,8,1,,,,,230491951
155664490,230491905,,8,1,,,,,230491905
155664491,230491900,,8,1,,,,,230491900
155664492,230491888,,8,1,,,,,230491888
155664493,230491880,,8,1,,,,,230491880
155664494,230491879,,8,1,,,,,230491879
155664496,230491899,,8,1,,,,,230491899
155664497,230491902,,8,1,,,,,230491902
155664508,230491908,,8,1,,,,,230491908
155664509,230491884,,8,1,,,,,230491884
155664513,230491651,,8,1,,,,,230491651
155664518,230491910,,8,1,,,,,230491910
155664519,230491873,,8,1,,,,,230491873
155664520,230491896,,8,1,,,,,230491896
155664521,230491901,,8,1,,,,,230491901
155664522,230491917,,8,1,,,,,230491917
155664523,230491889,,8,1,,,,,230491889
155664524,230491909,,8,1,,,,,230491909
155664527,230491895,,8,1,,,,,230491895
155664529,230491907,,8,1,,,,,230491907
155664532,230491874,,8,1,,,,,230491874
155664537,230491911,,8,1,,,,,230491911
155664538,230491645,,8,1,,,,,230491645
155664544,230491614,,8,1,,,,,230491614
155664545,230491641,,8,1,,,,,230491641
155664546,230491894,,8,1,,,,,230491894
155664550,230491923,,8,1,,,,,230491923
155664551,230491931,,8,1,,,,,230491931
155664552,230491875,,8,1,,,,,230491875
155664553,230491618,,8,1,,,,,230491618
155664554,230491956,,8,1,,,,,230491956
155664555,230491628,,8,1,,,,,230491628
155664556,230491626,,8,1,,,,,230491626
155664557,230491621,,8,1,,,,,230491621
155664558,230491912,,8,1,,,,,230491912
155664559,230491642,,8,1,,,,,230491642
155664560,230491573,,8,1,,,,,230491573
155664561,230491644,,8,1,,,,,230491644
155664562,230491659,,8,1,,,,,230491659
155664563,230491639,,8,1,,,,,230491639
155664564,230491581,,8,1,,,,,230491581
155664565,230491604,,8,1,,,,,230491604
155664566,230491640,,8,1,,,,,230491640
155664567,230491643,,8,1,,,,,230491643
155664568,230491892,,8,1,,,,,230491892
155664569,230491638,,8,1,,,,,230491638
155664570,230491637,,8,1,,,,,230491637
155664571,230491658,,8,1,,,,,230491658
155664572,230491930,,8,1,,,,,230491930
155664573,230491630,,8,1,,,,,230491630
155664574,230491893,,8,1,,,,,230491893
155664575,230491635,,8,1,,,,,230491635
155664576,230491872,,8,1,,,,,230491872
155664577,230491890,,8,1,,,,,230491890
155664578,230491613,,8,1,,,,,230491613
155664579,230491611,,8,1,,,,,230491611
155664580,230491569,,8,1,,,,,230491569
155664581,230491620,,8,1,,,,,230491620
